item_code,design_code,design_name,category,karat,gold_color,ring_size,diamond_grade,actual_net_weight,actual_diamond_weight,cert_lab,cert_number,hallmark_number,price,status
YRA-0016-14W-18,RG-016,Maya Diamond Ring,Rings,14Kt,White,18,HI/SI,4.799,1.08,GIA,568846644,,116500.0,in_stock
YRA-0016-14W-8,RG-016,Maya Diamond Ring,Rings,14Kt,White,8,JK/SI,4.14,1.07,GIA,288325439,,74800.0,in_stock
YRA-0016-14R-18,RG-016,Maya Diamond Ring,Rings,14Kt,Rose,18,HI/SI,4.799,1.08,GIA,904934916,,116500.0,sold
YRA-0016-14R-8,RG-016,Maya Diamond Ring,Rings,14Kt,Rose,8,IJ/SI,4.14,1.09,IGI,385602124,,92400.0,in_stock
YRA-0016-14R-14,RG-016,Maya Diamond Ring,Rings,14Kt,Rose,14,JK/SI,4.524,1.08,GIA,417416323,,78400.0,in_stock
YRA-0016-18Y-14,RG-016,Maya Diamond Ring,Rings,18Kt,Yellow,14,HI/SI,5.429,1.06,IGI,270925001,,129300.0,in_stock
YRA-0016-18Y-18,RG-016,Maya Diamond Ring,Rings,18Kt,Yellow,18,IJ/SI,5.759,1.06,GIA,745566789,,113800.0,in_stock
YRA-0016-18Y-8,RG-016,Maya Diamond Ring,Rings,18Kt,Yellow,8,JK/SI,4.968,1.09,GIA,606957016,,90700.0,sold
YRA-0016-18W-14,RG-016,Maya Diamond Ring,Rings,18Kt,White,14,JK/SI,5.429,1.07,IGI,712398422,,94500.0,sold
YRA-0016-18W-18,RG-016,Maya Diamond Ring,Rings,18Kt,White,18,IJ/SI,5.759,1.08,IGI,706883788,,114800.0,sold
YRA-0016-18W-8,RG-016,Maya Diamond Ring,Rings,18Kt,White,8,HI/SI,4.968,1.06,IGI,214545039,,124700.0,in_stock
YRA-0017-14W-10,RG-017,Nora Diamond Ring,Rings,14Kt,White,10,HI/SI,2.649,1.33,IGI,136965519,,116400.0,sold
YRA-0017-14W-6,RG-017,Nora Diamond Ring,Rings,14Kt,White,6,JK/SI,2.497,1.36,IGI,985901714,,72200.0,sold
YRA-0017-14W-8,RG-017,Nora Diamond Ring,Rings,14Kt,White,8,IJ/SI,2.571,1.35,IGI,242435866,,93200.0,in_stock
YRA-0017-14Y-20,RG-017,Nora Diamond Ring,Rings,14Kt,Yellow,20,IJ/SI,3.07,1.33,IGI,476776867,,96300.0,in_stock
YRA-0017-14Y-14,RG-017,Nora Diamond Ring,Rings,14Kt,Yellow,14,JK/SI,2.81,1.33,GIA,444486646,,73700.0,sold
YRA-0017-14Y-8,RG-017,Nora Diamond Ring,Rings,14Kt,Yellow,8,IJ/SI,2.571,1.34,GIA,763868645,,92700.0,in_stock
YRA-0017-18R-10,RG-017,Nora Diamond Ring,Rings,18Kt,Rose,10,HI/SI,3.179,1.34,IGI,867070496,,126800.0,sold
YRA-0017-18R-6,RG-017,Nora Diamond Ring,Rings,18Kt,Rose,6,IJ/SI,2.996,1.32,IGI,568213163,,100100.0,in_stock
YRA-0017-18R-20,RG-017,Nora Diamond Ring,Rings,18Kt,Rose,20,HI/SI,3.684,1.33,IGI,473451350,,131100.0,in_stock
YRA-0017-18Y-10,RG-017,Nora Diamond Ring,Rings,18Kt,Yellow,10,JK/SI,3.179,1.34,GIA,720630711,,82400.0,sold
YRA-0017-18Y-20,RG-017,Nora Diamond Ring,Rings,18Kt,Yellow,20,HI/SI,3.684,1.33,IGI,635062306,,131100.0,in_stock
YRA-0017-18Y-8,RG-017,Nora Diamond Ring,Rings,18Kt,Yellow,8,HI/SI,3.085,1.36,GIA,946016293,,127300.0,sold
YRA-0018-14R-18,RG-018,Pia Diamond Ring,Rings,14Kt,Rose,18,JK/SI,4.946,1.08,IGI,474183392,,81900.0,in_stock
YRA-0018-14R-10,RG-018,Pia Diamond Ring,Rings,14Kt,Rose,10,IJ/SI,4.394,1.09,GIA,282053503,,94500.0,in_stock
YRA-0018-14R-14,RG-018,Pia Diamond Ring,Rings,14Kt,Rose,14,IJ/SI,4.662,1.1,IGI,235352720,,97200.0,in_stock
YRA-0018-14Y-10,RG-018,Pia Diamond Ring,Rings,14Kt,Yellow,10,JK/SI,4.394,1.08,IGI,876676219,,77300.0,in_stock
YRA-0018-14Y-14,RG-018,Pia Diamond Ring,Rings,14Kt,Yellow,14,IJ/SI,4.662,1.08,GIA,272791213,,96200.0,in_stock
YRA-0018-14Y-18,RG-018,Pia Diamond Ring,Rings,14Kt,Yellow,18,IJ/SI,4.946,1.11,IGI,276739538,,100100.0,sold
YRA-0018-18Y-18,RG-018,Pia Diamond Ring,Rings,18Kt,Yellow,18,JK/SI,5.935,1.1,GIA,566995021,,100700.0,in_stock
YRA-0018-18Y-10,RG-018,Pia Diamond Ring,Rings,18Kt,Yellow,10,HI/SI,5.273,1.07,GIA,321667518,,128500.0,sold
YRA-0018-18Y-6,RG-018,Pia Diamond Ring,Rings,18Kt,Yellow,6,HI/SI,4.97,1.09,GIA,949334392,,126900.0,in_stock
YRA-0018-18W-10,RG-018,Pia Diamond Ring,Rings,18Kt,White,10,IJ/SI,5.273,1.07,GIA,105924542,,109400.0,in_stock
YRA-0018-18W-8,RG-018,Pia Diamond Ring,Rings,18Kt,White,8,IJ/SI,5.119,1.11,GIA,345419390,,110000.0,in_stock
YRA-0018-18W-14,RG-018,Pia Diamond Ring,Rings,18Kt,White,14,JK/SI,5.594,1.1,IGI,829711212,,97300.0,in_stock
YRA-0019-14R-16,RG-019,Riya Diamond Ring,Rings,14Kt,Rose,16,IJ/SI,2.715,0.7,IGI,517372493,,59800.0,sold
YRA-0019-14R-12,RG-019,Riya Diamond Ring,Rings,14Kt,Rose,12,HI/SI,2.559,0.7,IGI,369748753,,70900.0,in_stock
YRA-0019-14R-10,RG-019,Riya Diamond Ring,Rings,14Kt,Rose,10,HI/SI,2.484,0.67,GIA,208541330,,68200.0,sold
YRA-0019-14Y-16,RG-019,Riya Diamond Ring,Rings,14Kt,Yellow,16,JK/SI,2.715,0.69,IGI,786401578,,48600.0,sold
YRA-0019-14Y-12,RG-019,Riya Diamond Ring,Rings,14Kt,Yellow,12,IJ/SI,2.559,0.67,GIA,896834466,,56900.0,sold
YRA-0019-14Y-10,RG-019,Riya Diamond Ring,Rings,14Kt,Yellow,10,JK/SI,2.484,0.67,IGI,521436162,,45900.0,in_stock
YRA-0019-18Y-10,RG-019,Riya Diamond Ring,Rings,18Kt,Yellow,10,HI/SI,2.981,0.68,IGI,180729232,,77900.0,in_stock
YRA-0019-18Y-20,RG-019,Riya Diamond Ring,Rings,18Kt,Yellow,20,JK/SI,3.456,0.68,GIA,722958433,,60100.0,in_stock
YRA-0019-18Y-12,RG-019,Riya Diamond Ring,Rings,18Kt,Yellow,12,JK/SI,3.071,0.67,GIA,665944019,,55900.0,sold
YRA-0019-18R-16,RG-019,Riya Diamond Ring,Rings,18Kt,Rose,16,HI/SI,3.258,0.67,IGI,603755235,,80000.0,in_stock
YRA-0019-18R-20,RG-019,Riya Diamond Ring,Rings,18Kt,Rose,20,HI/SI,3.456,0.69,GIA,815152627,,83400.0,in_stock
YRA-0019-18R-10,RG-019,Riya Diamond Ring,Rings,18Kt,Rose,10,IJ/SI,2.981,0.69,GIA,416047660,,66400.0,sold
YRA-0020-14R-10,RG-020,Sia Diamond Ring,Rings,14Kt,Rose,10,IJ/SI,4.78,0.96,GIA,620678032,,90800.0,in_stock
YRA-0020-14R-8,RG-020,Sia Diamond Ring,Rings,14Kt,Rose,8,JK/SI,4.64,0.96,GIA,264017456,,74800.0,sold
YRA-0020-14R-18,RG-020,Sia Diamond Ring,Rings,14Kt,Rose,18,HI/SI,5.379,0.96,IGI,988950726,,112800.0,in_stock
YRA-0020-14Y-10,RG-020,Sia Diamond Ring,Rings,14Kt,Yellow,10,JK/SI,4.78,0.96,IGI,805773966,,76000.0,in_stock
YRA-0020-14Y-16,RG-020,Sia Diamond Ring,Rings,14Kt,Yellow,16,JK/SI,5.223,0.97,GIA,368463974,,80000.0,in_stock
YRA-0020-14Y-8,RG-020,Sia Diamond Ring,Rings,14Kt,Yellow,8,HI/SI,4.64,0.95,IGI,933551766,,105900.0,in_stock
YRA-0020-18Y-12,RG-020,Sia Diamond Ring,Rings,18Kt,Yellow,12,JK/SI,5.908,0.97,IGI,817751231,,95500.0,sold
YRA-0020-18Y-16,RG-020,Sia Diamond Ring,Rings,18Kt,Yellow,16,JK/SI,6.268,0.95,GIA,311924971,,98300.0,in_stock
YRA-0020-18Y-10,RG-020,Sia Diamond Ring,Rings,18Kt,Yellow,10,HI/SI,5.736,0.94,GIA,820726123,,123800.0,sold
YRA-0020-18W-8,RG-020,Sia Diamond Ring,Rings,18Kt,White,8,HI/SI,5.568,0.95,GIA,629437096,,122900.0,in_stock
YRA-0020-18W-18,RG-020,Sia Diamond Ring,Rings,18Kt,White,18,HI/SI,6.455,0.95,GIA,364748886,,131700.0,in_stock
YRA-0020-18W-16,RG-020,Sia Diamond Ring,Rings,18Kt,White,16,JK/SI,6.268,0.95,IGI,272182448,,98300.0,sold
YRA-0021-14W-8,RG-021,Avni Diamond Ring,Rings,14Kt,White,8,IJ/SI,3.87,1.03,IGI,648280046,,86900.0,in_stock
YRA-0021-14W-16,RG-021,Avni Diamond Ring,Rings,14Kt,White,16,HI/SI,4.356,1.03,IGI,329095505,,109300.0,in_stock
YRA-0021-14W-10,RG-021,Avni Diamond Ring,Rings,14Kt,White,10,IJ/SI,3.986,1.03,IGI,807621143,,87900.0,in_stock
YRA-0021-14Y-10,RG-021,Avni Diamond Ring,Rings,14Kt,Yellow,10,IJ/SI,3.986,1.01,GIA,370123329,,86800.0,in_stock
YRA-0021-14Y-16,RG-021,Avni Diamond Ring,Rings,14Kt,Yellow,16,IJ/SI,4.356,1.03,GIA,988772694,,91000.0,in_stock
YRA-0021-14Y-8,RG-021,Avni Diamond Ring,Rings,14Kt,Yellow,8,IJ/SI,3.87,1.01,GIA,318540283,,85900.0,in_stock
YRA-0021-18Y-20,RG-021,Avni Diamond Ring,Rings,18Kt,Yellow,20,JK/SI,5.545,1.01,IGI,942045032,,93400.0,sold
YRA-0021-18Y-10,RG-021,Avni Diamond Ring,Rings,18Kt,Yellow,10,JK/SI,4.783,1.02,GIA,685619986,,86200.0,in_stock
YRA-0021-18Y-16,RG-021,Avni Diamond Ring,Rings,18Kt,Yellow,16,HI/SI,5.227,1.02,IGI,149818055,,124400.0,in_stock
YRA-0021-18R-10,RG-021,Avni Diamond Ring,Rings,18Kt,Rose,10,JK/SI,4.783,1.03,GIA,762175666,,86600.0,in_stock
YRA-0021-18R-16,RG-021,Avni Diamond Ring,Rings,18Kt,Rose,16,JK/SI,5.227,1.03,IGI,328171634,,91000.0,in_stock
YRA-0021-18R-8,RG-021,Avni Diamond Ring,Rings,18Kt,Rose,8,JK/SI,4.644,1.03,IGI,208836223,,85200.0,in_stock
YRA-0022-14R-14,RG-022,Bela Diamond Ring,Rings,14Kt,Rose,14,IJ/SI,6.088,0.56,IGI,634471182,,80300.0,in_stock
YRA-0022-14R-20,RG-022,Bela Diamond Ring,Rings,14Kt,Rose,20,HI/SI,6.653,0.55,GIA,717746574,,94200.0,in_stock
YRA-0022-14R-16,RG-022,Bela Diamond Ring,Rings,14Kt,Rose,16,HI/SI,6.271,0.57,IGI,830104463,,92500.0,in_stock
YRA-0022-14W-16,RG-022,Bela Diamond Ring,Rings,14Kt,White,16,JK/SI,6.271,0.58,IGI,189039756,,73900.0,in_stock
YRA-0022-14W-14,RG-022,Bela Diamond Ring,Rings,14Kt,White,14,HI/SI,6.088,0.56,IGI,558487550,,90200.0,in_stock
YRA-0022-14W-20,RG-022,Bela Diamond Ring,Rings,14Kt,White,20,HI/SI,6.653,0.58,IGI,334339003,,96300.0,sold
YRA-0022-18Y-14,RG-022,Bela Diamond Ring,Rings,18Kt,Yellow,14,JK/SI,7.306,0.57,IGI,153836024,,94200.0,in_stock
YRA-0022-18Y-20,RG-022,Bela Diamond Ring,Rings,18Kt,Yellow,20,JK/SI,7.984,0.58,IGI,883532790,,101400.0,sold
YRA-0022-18Y-16,RG-022,Bela Diamond Ring,Rings,18Kt,Yellow,16,JK/SI,7.525,0.56,GIA,594543711,,96000.0,in_stock
YRA-0022-18R-20,RG-022,Bela Diamond Ring,Rings,18Kt,Rose,20,HI/SI,7.984,0.55,IGI,517630478,,118500.0,in_stock
YRA-0022-18R-14,RG-022,Bela Diamond Ring,Rings,18Kt,Rose,14,HI/SI,7.306,0.58,GIA,753853155,,113900.0,in_stock
YRA-0022-18R-16,RG-022,Bela Diamond Ring,Rings,18Kt,Rose,16,JK/SI,7.525,0.56,GIA,604446096,,96000.0,in_stock
YRA-0023-14R-20,RG-023,Cia Diamond Ring,Rings,14Kt,Rose,20,JK/SI,2.985,0.89,IGI,992589097,,58400.0,in_stock
YRA-0023-14R-14,RG-023,Cia Diamond Ring,Rings,14Kt,Rose,14,JK/SI,2.732,0.89,GIA,364259708,,56300.0,in_stock
YRA-0023-14R-10,RG-023,Cia Diamond Ring,Rings,14Kt,Rose,10,JK/SI,2.575,0.89,IGI,967026595,,55000.0,in_stock
YRA-0023-14W-20,RG-023,Cia Diamond Ring,Rings,14Kt,White,20,HI/SI,2.985,0.87,IGI,409797543,,86500.0,sold
YRA-0023-14W-10,RG-023,Cia Diamond Ring,Rings,14Kt,White,10,JK/SI,2.575,0.89,IGI,394042783,,55000.0,sold
YRA-0023-14W-14,RG-023,Cia Diamond Ring,Rings,14Kt,White,14,JK/SI,2.732,0.89,GIA,472430839,,56300.0,in_stock
YRA-0023-18W-18,RG-023,Cia Diamond Ring,Rings,18Kt,White,18,HI/SI,3.478,0.87,GIA,599636682,,96400.0,in_stock
YRA-0023-18W-20,RG-023,Cia Diamond Ring,Rings,18Kt,White,20,JK/SI,3.582,0.9,IGI,950043796,,69700.0,in_stock
YRA-0023-18W-14,RG-023,Cia Diamond Ring,Rings,18Kt,White,14,JK/SI,3.278,0.88,GIA,929107226,,65900.0,in_stock
YRA-0023-18R-18,RG-023,Cia Diamond Ring,Rings,18Kt,Rose,18,JK/SI,3.478,0.9,GIA,611730563,,68700.0,in_stock
YRA-0023-18R-14,RG-023,Cia Diamond Ring,Rings,18Kt,Rose,14,HI/SI,3.278,0.87,IGI,198986486,,94400.0,in_stock
YRA-0023-18R-10,RG-023,Cia Diamond Ring,Rings,18Kt,Rose,10,IJ/SI,3.09,0.89,GIA,532171731,,78100.0,sold
YRA-0024-14W-6,RG-024,Dua Diamond Ring,Rings,14Kt,White,6,HI/SI,5.359,1.09,IGI,319734580,,121900.0,sold
YRA-0024-14W-10,RG-024,Dua Diamond Ring,Rings,14Kt,White,10,IJ/SI,5.685,1.1,IGI,380887549,,105700.0,sold
YRA-0024-14W-8,RG-024,Dua Diamond Ring,Rings,14Kt,White,8,HI/SI,5.52,1.08,GIA,923827298,,122500.0,in_stock
YRA-0024-14Y-10,RG-024,Dua Diamond Ring,Rings,14Kt,Yellow,10,IJ/SI,5.685,1.1,IGI,294063154,,105700.0,in_stock
YRA-0024-14Y-18,RG-024,Dua Diamond Ring,Rings,14Kt,Yellow,18,HI/SI,6.399,1.07,GIA,857600380,,129100.0,in_stock
YRA-0024-14Y-8,RG-024,Dua Diamond Ring,Rings,14Kt,Yellow,8,HI/SI,5.52,1.11,GIA,228758857,,124600.0,in_stock
YRA-0024-18Y-6,RG-024,Dua Diamond Ring,Rings,18Kt,Yellow,6,JK/SI,6.431,1.07,GIA,296140722,,104500.0,in_stock
YRA-0024-18Y-18,RG-024,Dua Diamond Ring,Rings,18Kt,Yellow,18,HI/SI,7.679,1.08,IGI,284816723,,153100.0,in_stock
YRA-0024-18Y-10,RG-024,Dua Diamond Ring,Rings,18Kt,Yellow,10,IJ/SI,6.822,1.08,IGI,693601985,,125400.0,sold
YRA-0024-18R-20,RG-024,Dua Diamond Ring,Rings,18Kt,Rose,20,JK/SI,7.909,1.1,GIA,159880236,,120300.0,in_stock
YRA-0024-18R-6,RG-024,Dua Diamond Ring,Rings,18Kt,Rose,6,HI/SI,6.431,1.08,IGI,826804211,,140700.0,in_stock
YRA-0024-18R-8,RG-024,Dua Diamond Ring,Rings,18Kt,Rose,8,IJ/SI,6.624,1.09,IGI,605437522,,124000.0,in_stock
YRA-0025-14Y-6,RG-025,Ela Diamond Ring,Rings,14Kt,Yellow,6,HI/SI,2.889,0.94,GIA,123338996,,90700.0,in_stock
YRA-0025-14Y-8,RG-025,Ela Diamond Ring,Rings,14Kt,Yellow,8,IJ/SI,2.976,0.93,GIA,983754835,,74200.0,in_stock
YRA-0025-14Y-12,RG-025,Ela Diamond Ring,Rings,14Kt,Yellow,12,IJ/SI,3.157,0.91,IGI,456459817,,74600.0,in_stock
YRA-0025-14W-12,RG-025,Ela Diamond Ring,Rings,14Kt,White,12,HI/SI,3.157,0.93,GIA,260408428,,92200.0,in_stock
YRA-0025-14W-8,RG-025,Ela Diamond Ring,Rings,14Kt,White,8,HI/SI,2.976,0.93,IGI,391099071,,90700.0,in_stock
YRA-0025-14W-18,RG-025,Ela Diamond Ring,Rings,14Kt,White,18,HI/SI,3.45,0.92,GIA,627214687,,93900.0,in_stock
YRA-0025-18R-12,RG-025,Ela Diamond Ring,Rings,18Kt,Rose,12,JK/SI,3.788,0.94,IGI,701233666,,73300.0,in_stock
YRA-0025-18R-8,RG-025,Ela Diamond Ring,Rings,18Kt,Rose,8,IJ/SI,3.571,0.92,IGI,491142620,,84500.0,in_stock
YRA-0025-18R-6,RG-025,Ela Diamond Ring,Rings,18Kt,Rose,6,HI/SI,3.467,0.92,IGI,204759463,,99800.0,in_stock
YRA-0025-18W-8,RG-025,Ela Diamond Ring,Rings,18Kt,White,8,IJ/SI,3.571,0.94,IGI,786990168,,85600.0,in_stock
YRA-0025-18W-12,RG-025,Ela Diamond Ring,Rings,18Kt,White,12,IJ/SI,3.788,0.94,IGI,575676478,,87700.0,in_stock
YRA-0025-18W-6,RG-025,Ela Diamond Ring,Rings,18Kt,White,6,JK/SI,3.467,0.94,GIA,299523377,,70100.0,in_stock
YRA-0026-14W-18,RG-026,Fia Diamond Ring,Rings,14Kt,White,18,JK/SI,2.384,1.11,IGI,725919650,,61800.0,in_stock
YRA-0026-14W-8,RG-026,Fia Diamond Ring,Rings,14Kt,White,8,JK/SI,2.057,1.1,GIA,874872196,,58700.0,sold
YRA-0026-14W-6,RG-026,Fia Diamond Ring,Rings,14Kt,White,6,IJ/SI,1.997,1.12,GIA,402535092,,76200.0,sold
YRA-0026-14R-18,RG-026,Fia Diamond Ring,Rings,14Kt,Rose,18,IJ/SI,2.384,1.12,IGI,814556114,,79400.0,in_stock
YRA-0026-14R-8,RG-026,Fia Diamond Ring,Rings,14Kt,Rose,8,IJ/SI,2.057,1.11,IGI,275543988,,76200.0,in_stock
YRA-0026-14R-6,RG-026,Fia Diamond Ring,Rings,14Kt,Rose,6,HI/SI,1.997,1.12,GIA,658155684,,96100.0,sold
YRA-0026-18W-8,RG-026,Fia Diamond Ring,Rings,18Kt,White,8,IJ/SI,2.468,1.13,GIA,718810062,,84700.0,sold
YRA-0026-18W-18,RG-026,Fia Diamond Ring,Rings,18Kt,White,18,HI/SI,2.861,1.1,GIA,579360082,,106600.0,in_stock
YRA-0026-18W-6,RG-026,Fia Diamond Ring,Rings,18Kt,White,6,JK/SI,2.396,1.12,IGI,122213362,,66200.0,in_stock
YRA-0026-18Y-8,RG-026,Fia Diamond Ring,Rings,18Kt,Yellow,8,IJ/SI,2.468,1.11,GIA,696313505,,83700.0,sold
YRA-0026-18Y-6,RG-026,Fia Diamond Ring,Rings,18Kt,Yellow,6,HI/SI,2.396,1.1,IGI,380696835,,102000.0,in_stock
YRA-0026-18Y-18,RG-026,Fia Diamond Ring,Rings,18Kt,Yellow,18,JK/SI,2.861,1.12,GIA,661471702,,70900.0,in_stock
YRA-0027-14Y-6,RG-027,Gia Diamond Ring,Rings,14Kt,Yellow,6,JK/SI,3.66,0.75,GIA,276440519,,58700.0,sold
YRA-0027-14Y-12,RG-027,Gia Diamond Ring,Rings,14Kt,Yellow,12,JK/SI,3.999,0.73,GIA,845036422,,60800.0,in_stock
YRA-0027-14Y-18,RG-027,Gia Diamond Ring,Rings,14Kt,Yellow,18,JK/SI,4.37,0.76,IGI,524808207,,65000.0,sold
YRA-0027-14W-14,RG-027,Gia Diamond Ring,Rings,14Kt,White,14,IJ/SI,4.119,0.75,GIA,706046246,,74100.0,sold
YRA-0027-14W-18,RG-027,Gia Diamond Ring,Rings,14Kt,White,18,IJ/SI,4.37,0.77,IGI,448836991,,77200.0,in_stock
YRA-0027-14W-6,RG-027,Gia Diamond Ring,Rings,14Kt,White,6,IJ/SI,3.66,0.77,IGI,553265228,,71300.0,in_stock
YRA-0027-18Y-14,RG-027,Gia Diamond Ring,Rings,18Kt,Yellow,14,HI/SI,4.943,0.74,IGI,342105641,,101700.0,in_stock
YRA-0027-18Y-6,RG-027,Gia Diamond Ring,Rings,18Kt,Yellow,6,IJ/SI,4.392,0.77,IGI,968945529,,84700.0,sold
YRA-0027-18Y-12,RG-027,Gia Diamond Ring,Rings,18Kt,Yellow,12,HI/SI,4.799,0.77,IGI,788885210,,102400.0,in_stock
YRA-0027-18R-12,RG-027,Gia Diamond Ring,Rings,18Kt,Rose,12,HI/SI,4.799,0.75,IGI,369059453,,101000.0,in_stock
YRA-0027-18R-18,RG-027,Gia Diamond Ring,Rings,18Kt,Rose,18,HI/SI,5.244,0.73,IGI,408725305,,104000.0,in_stock
YRA-0027-18R-16,RG-027,Gia Diamond Ring,Rings,18Kt,Rose,16,HI/SI,5.092,0.74,IGI,164788806,,103200.0,in_stock
YRA-0028-14W-20,RG-028,Hia Diamond Ring,Rings,14Kt,White,20,IJ/SI,7.093,0.73,GIA,754931617,,97700.0,in_stock
YRA-0028-14W-10,RG-028,Hia Diamond Ring,Rings,14Kt,White,10,IJ/SI,6.118,0.71,IGI,689026983,,88500.0,in_stock
YRA-0028-14W-12,RG-028,Hia Diamond Ring,Rings,14Kt,White,12,JK/SI,6.302,0.72,GIA,757988648,,79500.0,in_stock
YRA-0028-14R-20,RG-028,Hia Diamond Ring,Rings,14Kt,Rose,20,HI/SI,7.093,0.71,GIA,728872672,,109200.0,in_stock
YRA-0028-14R-10,RG-028,Hia Diamond Ring,Rings,14Kt,Rose,10,HI/SI,6.118,0.74,IGI,447841361,,103300.0,in_stock
YRA-0028-14R-12,RG-028,Hia Diamond Ring,Rings,14Kt,Rose,12,IJ/SI,6.302,0.72,IGI,417295280,,90600.0,in_stock
YRA-0028-18Y-12,RG-028,Hia Diamond Ring,Rings,18Kt,Yellow,12,HI/SI,7.562,0.72,GIA,995855040,,126400.0,in_stock
YRA-0028-18Y-10,RG-028,Hia Diamond Ring,Rings,18Kt,Yellow,10,HI/SI,7.342,0.73,IGI,827631093,,124900.0,in_stock
YRA-0028-18Y-20,RG-028,Hia Diamond Ring,Rings,18Kt,Yellow,20,IJ/SI,8.512,0.71,GIA,250675203,,122500.0,in_stock
YRA-0028-18W-12,RG-028,Hia Diamond Ring,Rings,18Kt,White,12,JK/SI,7.562,0.73,GIA,388495795,,102900.0,sold
YRA-0028-18W-20,RG-028,Hia Diamond Ring,Rings,18Kt,White,20,JK/SI,8.512,0.73,IGI,543491668,,112300.0,sold
YRA-0028-18W-10,RG-028,Hia Diamond Ring,Rings,18Kt,White,10,JK/SI,7.342,0.7,IGI,634598000,,99500.0,in_stock
YRA-0029-14R-18,RG-029,Isha Diamond Ring,Rings,14Kt,Rose,18,HI/SI,7.068,1.35,GIA,508745674,,154500.0,in_stock
YRA-0029-14R-16,RG-029,Isha Diamond Ring,Rings,14Kt,Rose,16,IJ/SI,6.862,1.33,IGI,567771192,,127700.0,in_stock
YRA-0029-14R-10,RG-029,Isha Diamond Ring,Rings,14Kt,Rose,10,HI/SI,6.28,1.34,GIA,447749449,,147300.0,sold
YRA-0029-14W-10,RG-029,Isha Diamond Ring,Rings,14Kt,White,10,HI/SI,6.28,1.36,IGI,150940546,,148700.0,in_stock
YRA-0029-14W-18,RG-029,Isha Diamond Ring,Rings,14Kt,White,18,IJ/SI,7.068,1.36,GIA,678209551,,131000.0,in_stock
YRA-0029-14W-20,RG-029,Isha Diamond Ring,Rings,14Kt,White,20,JK/SI,7.28,1.34,GIA,518241313,,111100.0,in_stock
YRA-0029-18Y-18,RG-029,Isha Diamond Ring,Rings,18Kt,Yellow,18,HI/SI,8.482,1.34,GIA,502025682,,179600.0,in_stock
YRA-0029-18Y-20,RG-029,Isha Diamond Ring,Rings,18Kt,Yellow,20,JK/SI,8.736,1.35,IGI,302093455,,138000.0,sold
YRA-0029-18Y-16,RG-029,Isha Diamond Ring,Rings,18Kt,Yellow,16,IJ/SI,8.234,1.34,GIA,842576360,,153300.0,in_stock
YRA-0029-18R-20,RG-029,Isha Diamond Ring,Rings,18Kt,Rose,20,HI/SI,8.736,1.33,GIA,650393199,,181400.0,in_stock
YRA-0029-18R-18,RG-029,Isha Diamond Ring,Rings,18Kt,Rose,18,IJ/SI,8.482,1.35,GIA,981063847,,156300.0,sold
YRA-0029-18R-10,RG-029,Isha Diamond Ring,Rings,18Kt,Rose,10,IJ/SI,7.536,1.34,IGI,662702029,,146400.0,in_stock
YRA-0030-14R-12,RG-030,Jia Diamond Ring,Rings,14Kt,Rose,12,JK/SI,4.302,1.01,IGI,311151760,,73900.0,in_stock
YRA-0030-14R-20,RG-030,Jia Diamond Ring,Rings,14Kt,Rose,20,JK/SI,4.842,1.02,GIA,794508426,,78800.0,sold
YRA-0030-14R-6,RG-030,Jia Diamond Ring,Rings,14Kt,Rose,6,HI/SI,3.937,1.01,IGI,541415762,,104400.0,in_stock
YRA-0030-14Y-16,RG-030,Jia Diamond Ring,Rings,14Kt,Yellow,16,HI/SI,4.564,1.02,IGI,207485442,,110300.0,in_stock
YRA-0030-14Y-14,RG-030,Jia Diamond Ring,Rings,14Kt,Yellow,14,IJ/SI,4.431,1.03,GIA,758208298,,91600.0,in_stock
YRA-0030-14Y-12,RG-030,Jia Diamond Ring,Rings,14Kt,Yellow,12,JK/SI,4.302,1.02,IGI,835045640,,74300.0,sold
YRA-0030-18R-16,RG-030,Jia Diamond Ring,Rings,18Kt,Rose,16,IJ/SI,5.477,1.0,IGI,725195172,,107700.0,in_stock
YRA-0030-18R-12,RG-030,Jia Diamond Ring,Rings,18Kt,Rose,12,JK/SI,5.162,1.0,GIA,120989875,,89200.0,in_stock
YRA-0030-18R-14,RG-030,Jia Diamond Ring,Rings,18Kt,Rose,14,JK/SI,5.317,1.03,IGI,572061016,,91900.0,in_stock
YRA-0030-18Y-16,RG-030,Jia Diamond Ring,Rings,18Kt,Yellow,16,JK/SI,5.477,0.99,IGI,438006949,,92000.0,in_stock
YRA-0045-18R-OS,ER-015,Ivy Diamond Earrings,Earrings,18Kt,Rose,,IJ/SI,4.411,0.29,IGI,481973197,,59300.0,in_stock
YRA-0030-18Y-14,RG-030,Jia Diamond Ring,Rings,18Kt,Yellow,14,IJ/SI,5.317,1.02,GIA,549228269,,107200.0,in_stock
YRA-0030-18Y-6,RG-030,Jia Diamond Ring,Rings,18Kt,Yellow,6,IJ/SI,4.724,1.03,IGI,360841799,,101900.0,in_stock
YRA-0031-14Y-OS,ER-001,Aura Diamond Earrings,Earrings,14Kt,Yellow,,IJ/SI,5.037,0.24,GIA,300309527,,54500.0,in_stock
YRA-0031-14W-OS,ER-001,Aura Diamond Earrings,Earrings,14Kt,White,,IJ/SI,5.037,0.27,GIA,223358279,,56100.0,in_stock
YRA-0031-18R-OS,ER-001,Aura Diamond Earrings,Earrings,18Kt,Rose,,HI/SI,6.044,0.25,IGI,553416500,,77900.0,sold
